category,dates,value
최저기온(℃),1962-09-26,9.4
최고기온(℃),1962-09-27,18.5
최저기온(℃),1962-09-27,11.9
최고기온(℃),1962-09-28,20.9
최저기온(℃),1962-09-28,12.3
최고기온(℃),1962-09-29,21.0
최저기온(℃),1962-09-29,9.4
최고기온(℃),1962-09-30,21.8
최저기온(℃),1962-09-30,8.5
최고기온(℃),1963-07-01,28.2
최저기온(℃),1963-07-01,20.1
최고기온(℃),1963-07-02,28.5
최저기온(℃),1963-07-02,22.6
최고기온(℃),1963-07-03,29.4
최저기온(℃),1963-07-03,23.0
최고기온(℃),1963-07-04,24.8
최저기온(℃),1963-07-04,22.1
최고기온(℃),1963-07-05,29.4
최저기온(℃),1963-07-05,19.6
최고기온(℃),1963-07-06,29.5
최저기온(℃),1963-07-06,18.8
최고기온(℃),1963-07-07,23.0
최저기온(℃),1963-07-07,19.1
최고기온(℃),1963-07-08,27.7
최저기온(℃),1963-07-08,18.8
최고기온(℃),1963-07-09,26.9
최저기온(℃),1963-07-09,20.0
최고기온(℃),1963-07-10,24.5
최저기온(℃),1963-07-10,20.0
최고기온(℃),1963-07-11,29.7
최저기온(℃),1963-07-11,19.4
최고기온(℃),1963-07-12,26.4
최저기온(℃),1963-07-12,20.8
최고기온(℃),1963-07-13,26.2
최저기온(℃),1963-07-13,21.7
최고기온(℃),1963-07-14,29.6
최저기온(℃),1963-07-14,22.0
최고기온(℃),1963-07-15,28.3
최저기온(℃),1963-07-15,23.8
최고기온(℃),1963-07-16,27.2
최저기온(℃),1963-07-16,23.8
최고기온(℃),1963-07-17,25.0
최저기온(℃),1963-07-17,21.0
최고기온(℃),1963-07-18,30.5
최저기온(℃),1963-07-18,21.2
최고기온(℃),1963-07-19,33.1
최저기온(℃),1963-07-19,24.0
최고기온(℃),1963-07-20,32.0
최저기온(℃),1963-07-20,25.1
최고기온(℃),1963-07-21,27.0
최저기온(℃),1963-07-21,23.0
최고기온(℃),1963-07-22,29.0
최저기온(℃),1963-07-22,23.6
최고기온(℃),1963-07-23,26.2
최저기온(℃),1963-07-23,22.3
최고기온(℃),1963-07-24,25.6
최저기온(℃),1963-07-24,23.2
최고기온(℃),1963-07-25,25.6
최저기온(℃),1963-07-25,21.9
최고기온(℃),1963-07-26,27.5
최저기온(℃),1963-07-26,21.6
최고기온(℃),1963-07-27,28.2
최저기온(℃),1963-07-27,21.3
최고기온(℃),1963-07-28,29.4
최저기온(℃),1963-07-28,21.3
최고기온(℃),1963-07-29,27.2
최저기온(℃),1963-07-29,23.2
최고기온(℃),1963-07-30,30.7
최저기온(℃),1963-07-30,23.0
최고기온(℃),1963-07-31,30.8
최저기온(℃),1963-07-31,23.6
최고기온(℃),1963-08-01,31.2
최저기온(℃),1963-08-01,24.4
최고기온(℃),1963-08-02,32.0
최저기온(℃),1963-08-02,23.2
